Price,Street Address,Address Locality,Address Region,Postal Code,Beds,Bathrooms,Car slots,Lot area,Type
385000,238 Connaught Rd,BLACKHEATH,NSW,2785,0,0,0,4047,0
375000,10 Lomandra Place,KATOOMBA,NSW,2780,0,0,1,1260,0
360000,143 Burrawang Street,KATOOMBA,NSW,2780,0,0,1,1328,0
377500,24-48 Addington Road,HAZELBROOK,NSW,2779,0,0,0,20000,0
367500,1a Murray Street,LEURA,NSW,2780,0,0,0,670,0
360000,25 Tusculum Rd,VALLEY HEIGHTS,NSW,2777,0,0,0,1169,0
360000,26 Tusculum Rd,VALLEY HEIGHTS,NSW,2777,0,0,0,1035,0
384000,18 Martin Place,FAULCONBRIDGE,NSW,2776,0,0,0,2904,0
350000,7 Forbes Road,HAZELBROOK,NSW,2779,0,0,0,4679,0
345000,13 Clarence Street,LEURA,NSW,2780,0,0,2,739,0
355000,221 Hat Hill Road,BLACKHEATH,NSW,2785,0,0,3,644,0
345000,69 Valley View Road,DARGAN,NSW,2786,0,0,0,13700,0
330000,5B Riches Avenue,WOODFORD,NSW,2778,0,0,2,30100,0
344000,254 Great Western Highway,WARRIMOO,NSW,2774,0,0,0,466,0
320000,54 Rawson Parade,LEURA,NSW,2780,0,0,1,791,0
325000,105 Tableland Road,WENTWORTH FALLS,NSW,2782,0,0,1,1341,0
315000,89 Stuarts Road,KATOOMBA,NSW,2780,0,0,1,1219,0
299950,Lot 12/3 Werona Street,LAWSON,NSW,2783,0,0,0,1057,0
299950,40 Great Western Highway,WENTWORTH FALLS,NSW,2782,0,0,0,682,0
299000,34 Mount View Avenue,HAZELBROOK,NSW,2779,0,0,0,1035,0
298000,60 St Elmo Avenue,BLACKHEATH,NSW,2785,0,0,0,1473,0
295000,13 Willow Park Avenue,LEURA,NSW,2780,0,0,0,885,0
307500,52 Godson Avenue,BLACKHEATH,NSW,2785,0,0,0,1888,0
290000,14 Hovea Place,WOODFORD,NSW,2778,0,0,0,2072,0
290000,17 Chatsworth Rd,MOUNT VICTORIA,NSW,2786,0,0,1,3231,0
300000,6-12 Kuke Rd,BLACKHEATH,NSW,2785,0,0,1,72500,0
292500, ,,,,0,0,0,930,0
279000,6-8 Booth Road,BULLABURRA,NSW,2784,0,0,0,2007,0
