Price,Street Address,Address Locality,Address Region,Postal Code,Beds,Bathrooms,Car slots,Lot area,Type
"$298,000 ",60 St Elmo Avenue,BLACKHEATH,NSW,2785,,,,"1,473m²",Vacant land
"$295,000 ",13 Willow Park Avenue,LEURA,NSW,2780,,,,885m²,Vacant land
"$295,000 - $320,000",52 Godson Avenue,BLACKHEATH,NSW,2785,,,,"1,888m²",Vacant land
"$290,000 ",14 Hovea Place,WOODFORD,NSW,2778,,,,"2,072m²",Vacant land
"$290,000 - $310,000",2 Fifth  Avenue,KATOOMBA,NSW,2780,,,,,
"$290,000 ",17 Chatsworth Rd,MOUNT VICTORIA,NSW,2786,,,,"3,231m²",Vacant land
"$290,000 - $310,000",6-12 Kuke Rd,BLACKHEATH,NSW,2785,,,,7.25ha,Vacant land
"$280,000 to $305,000", ,,,,,,,930m²,Vacant land
"$279,000 ",6-8 Booth Road,BULLABURRA,NSW,2784,,,,"2,007m²",Vacant land
"$275,000 ",278 & 279 Great Western Highway,LAWSON,NSW,2783,,,,,
"$269,000 ",347 Chifley Road,DARGAN,NSW,2786,,,,"8,093m²",Vacant land
"$265,000 ",11 Surrey Street,BULLABURRA,NSW,2784,,,,"2,658m²",Vacant land
"$265,000 to $289,000",11 Buena Vista Road,WOODFORD,NSW,2778,,,,"4,903m²",Vacant land
"$260,000 ",24-26 Booth Road,BULLABURRA,NSW,2784,,,,"2,095m²",Vacant land
"$250,000 ",58 Henry  Street,LAWSON,NSW,2783,,,,879m²,Vacant land
"$250,000 ",64 Explorers Road,KATOOMBA,NSW,2780,,,,"6,530m²",Vacant land
"$250,000 to $275,000",32 Hazel Avenue,HAZELBROOK,NSW,2779,1,1,,692m²,Vacant land
"$249,000 ",110 Kent Street,BULLABURRA,NSW,2784,,,,2.1ha,Vacant land
"$249,000 ",268A Mt Irvine Rd,MOUNT WILSON,NSW,2786,,,,6.47ha,Vacant land
"$240,000 - $260,000",7 Commonwealth Street,LEURA,NSW,2780,,,,908m²,Vacant land
"$240,000 - $260,000",45 St Georges Parade,MOUNT VICTORIA,NSW,2786,,,,"2,574m²",Vacant land
"$230,000 ",5-7 Clarendon Street,WENTWORTH FALLS,NSW,2782,,,,"2,018m²",Vacant land
"$220,000 ",3 Dorset Street,LEURA,NSW,2780,,,,"1,277m²",Vacant land
"$220,000 - $240,000",11 Myall Avenue,LEURA,NSW,2780,,,,974m²,Vacant land
"$210,000 - $230,000",60 Mort  Street,KATOOMBA,NSW,2780,,,,812m²,Vacant land
"$225,000 ",3 Clarendon Street,WENTWORTH FALLS,NSW,2782,,,,"2,023m²",Vacant land
Contact Agent,127 MOUNT YORK ROAD,MOUNT VICTORIA,NSW,2786,,,,"5,035m²",Vacant land
"$199,000 ",14 Eastern Avenue,HAZELBROOK,NSW,2779,,,,"1,040m²",Vacant land
"$199,000 - $218,000",14 Mount Piddington Road,MOUNT VICTORIA,NSW,2786,,,,735m²,Vacant land
"$199,000 - $218,000",12 Mount Piddington Road,MOUNT VICTORIA,NSW,2786,,,,735m²,Vacant land
"$199,000 ",89 Rawson Parade,LEURA,NSW,2780,,,,886m²,Vacant land
"Price Reduced- $195,000",Lot 22/70 Falcon Street,HAZELBROOK,NSW,2779,,,,781m²,Vacant land
"$195,000 Negotiable",35 Foy Avenue,MEDLOW BATH,NSW,2780,,,,"1,011m²",Vacant land
"$165,000 ",17 Kundibar,BLACKHEATH,NSW,2785,,,,"3,674m²",Vacant land
"$99,000 ",49-59 Charles St,LAWSON,NSW,2783,,,,,
"$620,000 ",57b Chaseling Avenue,SPRINGWOOD,NSW,2777,3,1,1,410m²,Semi-Detached
EXPRESS OF INTEREST,36 GODSON AVE,BLACKHEATH,NSW,2785,,,,660m²,Vacant land
EXPRESS OF INTEREST,BETTINGTON ST,BLACKHEATH,NSW,2785,,,,660m²,New land
